B19189190           5215201601297501008465677    49.61      6      0     0.00  0.00  0.00
B19189190           5215201601297501299302866   171.57      1      0     0.00  0.00  0.00
B19189190           5215201601297501299303047    40.57      2      0     0.00  0.00  0.00
B19189190           5215201601297501008465653   105.42      7      0     0.00  0.00  0.00
B19189190           5215201601297501299303085    44.56      1      0     0.00  0.00  0.00
B19189190           5215201601297501159580182   114.33      1      0     0.00  0.00  0.00
B19189191           5215201601297503013040870   375.85      2      0     0.00  0.00  5.00
B19189191           5215201601297503013040894   171.18      3      0     0.00  0.00  5.00
B19189191           5215201601297503013040900   346.67      2      0     0.00  0.00  5.00
B19189191           5215201601297506205802690   228.00      2      0     0.00  0.00  5.00
B19189191           5215201601297503013040863   187.52      3      0     0.00  0.00  5.00
B19189192           521520160129 650240007828    14.83      5      0    16.00  0.00  0.00
B19189192           5215201601297501022101896    25.38      7      0    16.00  0.00  0.00
B19189192           5215201601297501008486504    15.85      1      0    16.00  0.00  0.00
B19189192           5215201601297501022105276    12.78      5      0    16.00  0.00  0.00
B19189192           5215201601297501022107027    14.34      2      0    16.00  0.00  0.00
B19189192           5215201601297501065053350    78.61      7      0     0.00  0.00  0.00
B19189192           5215201601297501035915121    13.95      2      0    16.00  0.00  0.00
B19189192           5215201601297501022105337    11.72      3      0    16.00  0.00  0.00
B19189192           5215201601297501022105207    10.86      5      0    16.00  0.00  0.00
B19189192           5215201601297501299308073   171.57      9      0     0.00  0.00  0.00
B19189192           5215201601290020800600330    28.30      3      0    16.00  0.00  0.00
B19189192           5215201601297501022103111    16.94      1      0    16.00  0.00  0.00
B19189192           5215201601297501022103166    37.09      1      0    16.00  0.00  0.00
B19189192           5215201601297501008448243   161.23      7      0     0.00  0.00  0.00
B19189192           5215201601297896009400148    72.08      2      0    16.00  0.00  0.00
B19189192           521520160129 650240011351    60.40      2      0     0.00  0.00  0.00
B19189192           5215201601297501008465592    64.00      7      0     0.00  0.00  0.00
B19189192           5215201601297501022103173    51.59      1      0    16.00  0.00  0.00
B19189192           5215201601297501054503095    27.01      2      0    16.00  0.00  0.00
B19189192           5215201601297501065053138    51.37      8      0     0.00  0.00  0.00
B19189192           5215201601297501054504535    41.69      2      0    16.00  0.00  0.00
B19189192           5215201601297501050617697    38.04      1      0     0.00  0.00  0.00
B19189192           5215201601297501174600124    46.12      2      0     0.00  0.00  0.00
B19189192           5215201601297501065030405    17.41      7      0     0.00  0.00  0.00
B19189192           5215201601297501065053121    51.37      7      0     0.00  0.00  0.00
B19189192           5215201601297501035911079    27.78      2      0    16.00  0.00  0.00
B19189192           5215201601297501035911062    10.77      2      0    16.00  0.00  0.00
B19189192           5215201601294005808837472    23.60      2      0    16.00  0.00  0.00
B19189192           5215201601294005808829675    39.43      1      0    16.00  0.00  0.00
B19189192           5215201601294005808225958    31.44      1      0    16.00  0.00  0.00
B19189192           5215201601294005808225941    31.44      1      0    16.00  0.00  0.00
B19189192           5215201601297501086313853    15.45      3      0    16.00  0.00  0.00
B19189192           5215201601297501086472017    17.38      5      0    16.00  0.00  0.00
B19189192           5215201601297501035916586    35.03      3      0    16.00  0.00  0.00
B19189192           5215201601297501070600556    62.33      7      0     0.00  0.00  0.00
B19189192           5215201601297501070600730    58.49      1      0     0.00  0.00  0.00
B19189192           5215201601297501070612320    97.42      1      0     0.00  0.00  0.00
B19189192           5215201601297501054500063    16.15      2      0    16.00  0.00  0.00
B19189192           5215201601297501050624572    45.55      8      0     0.00  0.00  0.00
